mensaje,etiqueta
"¡3 TEXTOS DEL TAROT GRATIS! ¡Descubre ahora tu vida amorosa! PRUEBA 3 GRATIS! Envía CHANCE al 85555 16 solamente. Después de 3 mensajes gratis, 1,50 € cada uno",basura
¡No 1 tono POLIFÓNICO 4 ur mob cada semana! Simplemente envíe PT2 al 87575. ¡1er tono GRATIS! así que consigue txtin ahora y cuéntaselo a tus amigos. 150p / tono. 16 respuestas HL 4info,basura
"Bienvenido a Select, un servicio O2 con beneficios adicionales. Ahora puede llamar GRATIS a nuestros asesores especialmente capacitados desde su teléfono móvil marcando 402.",basura
Última oportunidad 2 reclame su valor de £ 150 en vales de descuento: envíe un mensaje de texto SÍ al 85023 ahora. El miembro de SavaMob ofrece T Cs móviles 08717898035. £ 3.00 Sub. dieciséis . Eliminar txt X o DETENER,basura
Dorothy@kiefer.com (Bank of Granite emite Strong-Buy) SELECCIÓN EXPLOSIVA PARA NUESTROS MIEMBROS ***** HASTA MÁS DEL 300% *********** Símbolo del Nasdaq CDGT Eso es $ 5.00 por ..,basura
Cámara: ¡se le otorga una cámara digital SiPix! llama al 09061221066 fromm fijo. Entrega en 28 días.,basura
MENSAJE GRATUITO: Facturamos su número de móvil por error del código corto 83332. Llame al 08081263000 para que le reembolsen los cargos. Esta llamada será gratuita desde un teléfono fijo de BT,basura
¡Felicidades! El teléfono con cámara de video Nokia 3650 es su llamada 09066382422 Las llamadas cuestan 150ppm Ave llamada 3mins varían desde móviles 16+ Cerrar 300603 post BCM4284 Ldn WC1N3XX,basura
"Compre hasta caer, ¿ES USTED? 10K, 5K, £ 500 en efectivo o £ 100 en un vale de viaje, llame ahora al 09064011000. NTT PO Box CR01327BT línea fija Costo 150ppm móvil varía",basura
ESPECIAL DE BONIFICACIÓN DE HMV Se pueden ganar 500 libras de vales HMV genuinos. Solo responde 4 preguntas sencillas. ¡Reproducir ahora! Envíe HMV al 86688 Más información: www.100percent-real.com,basura
¡CABALLERO! Estamos intentando ponernos en contacto contigo. El sorteo de los últimos fines de semana muestra que ganó un premio de £ 1000 GARANTIZADO. Llame al 09064012160. Código de reclamo K52. Válido solo por 12 horas. 150 ppm,basura
¡El premio urgente garantizado de £ 500 aún no ha sido reclamado! Llame al 09066368327 AHORA fecha de cierre04 / 09/02 código de reclamación M39M51 £ 1.50pmmás demobile2Bremoved-MobyPOBox734LS27YF,basura
"¡USTED ES ELEGIDO PARA RECIBIR UN PREMIO DE £ 350! Por favor llame al número de reclamo 09066364311 para cobrar su premio, que está seleccionado para recibir como un valioso cliente móvil.",basura
Obtenga una película GRATUITA con un reproductor de video móvil GRATIS. Para recopilar el texto VAYA al 89105. ¡Es gratis! Se pueden solicitar películas adicionales. Se aplican las t y las c. 18 años solamente,basura
"Esta es la segunda vez que intentamos 2 contactarnos. Has ganado el premio de 750 libras. 2 es fácil, llame al 08718726970 AHORA! Solo 10p por min. BT-tarifa-nacional",basura
<Reenviado desde 21870000> Hola: esta es la alerta SMS de mensajería de su buzón. Tienes 4 mensajes. Tienes 21 partidos. Vuelva a llamar al 09056242159 para recuperar sus mensajes y coincidencias,basura
¡URGENTE! Estamos tratando de ponernos en contacto con U. El sorteo de hoy muestra que ha ganado un premio de £ 800 GARANTIZADO. Llame al 09050001808 desde su teléfono fijo. Reclamación M95. Válido solo 12 horas,basura
¡Sorteos de premios de Navidad! Estamos intentando ponernos en contacto con U. El sorteo de hoy muestra que has ganado un premio de 2000 £ GARANTIZADO. Llame al 09058094565 desde el teléfono fijo. Válido solo 12 horas,basura
URGENTE Este es nuestro segundo intento de ponernos en contacto con U. Su premio de £ 900 de AYER aún está pendiente de ser recogido. Para reclamar LLAME AHORA 09061702893,basura
"¡HAS GANADO! Sus vacaciones de 4 * en la Costa del Sol o £ 5000 aguardan la recogida. Llame al 09050090044 ahora para reclamar. SAE, TC s, POBox334, Stockport, SK38xh, costo £ 1.50 / pm, Max10mins",basura
"¡USTED HA GANADO! Como cliente valioso de Vodafone, nuestra computadora lo ha elegido a USTED para ganar un premio de £ 150. Coleccionar es fácil. Solo llame al 09061743386",basura
"¡Última oportunidad! ¡Reclame hoy mismo cupones de descuento por valor de 150 €! Envíe el mensaje de texto SHOP al 85023 ahora. ¡SavaMob, ofrece móvil! T Cs SavaMob POBOX84, M263UZ. £ 3.00 Sub. dieciséis",basura
"Urgente Llame al 09066612661 desde el teléfono fijo. 5000 libras esterlinas en efectivo o un lujoso 4 * en las Islas Canarias. Premio SAE de los términos y condiciones. 20M12AQ. 150ppm. 16+ """,basura
"¡URGENTE! ¡Tu número de móvil 077xxx GANÓ un premio de bonificación de llamada de 2.000 £ el 06/02/03! ¡Este es el segundo intento de llegar a USTED! ¡Llame al 09066362206 lo antes posible! BOX97N7QP, 150 ppm",basura
Entrada gratuita para la primera semana 2 TEXTPOD 4 una oportunidad 2 de ganar un iPod de 40GB o £ 250 en efectivo cada semana. Envíe un mensaje de texto con POD a 84128 Ts & Cs www.textpod.net custcare 08712405020.,basura
"500 nuevos móviles de 2004, ¡DEBEN IR! Envía un mensaje de texto: NOKIA al número: 89545 y recoge el tuyo hoy. Desde SOLO £ 1 www.4-tc.biz 2optout 087187262701.50gbp / mtmsg18",basura
¿Quieres un nuevo teléfono de video? 750 en cualquier momento cualquier minuto de red? TEXTO ILIMITADO? Videocámara? Responde o llama ahora 08000930705 para del Sat AM,basura
Tienes 1 mensaje de voz nuevo. Llame al 08719181513.,basura
"¡Objetivo! Arsenal 4 (Henry, 7 v Liverpool 2 Henry anota con un simple disparo desde 6 yardas desde un pase de Bergkamp para darle al Arsenal un margen de 2 goles después de 78 minutos.",basura
"Préstamo para cualquier propósito entre £ 500 y £ 75,000. Propietarios + Inquilinos bienvenidos. ¿Ha sido rechazado anteriormente? Todavía podemos ayudar. Llame gratis al 0800 1956669 o envíe un mensaje de texto con 'ayuda'",basura
¿Eres lo suficientemente único? Infórmate a partir del 30 de agosto. www.areyouunique.co.uk,basura
"Ha ganado un premio garantizado de 32000 o tal vez incluso £ 1000 en efectivo para reclamar su premio llame gratis al 0800 ..... (18+). Es un número legítimo de efreefone, ¿crees que?",basura
"Reclame una juerga de compras de 200, ¡solo llame al 08717895698 ahora! ¡Has ganado! MobStoreQuiz10ppm",basura
"Puede GANAR £ 100 en vales de regalo de música cada semana a partir de AHORA Envíe la palabra DRAW al 87066 TsCs www.Idew.com SkillGame, 1Winaweek, 16 años. 150ppermessSuscripción",basura
"HOT LIVE FANTASIES llame ahora 08707509020 Solo 20p por minuto NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 es una llamada con tarifa nacional",basura
