city,lat,lon,contador_palabras
Bogotá,4.649178,-74.062827,15
Bogotá,4.649178,-74.062827,19
Bogotá,4.649178,-74.062827,16
Bogotá,4.649178,-74.062827,25
Bogotá,4.649178,-74.062827,20
Bogotá,4.649178,-74.062827,11
Bogotá,4.649178,-74.062827,6
Bogotá,4.649178,-74.062827,22
Bogotá,4.649178,-74.062827,21
Bogotá,4.649178,-74.062827,12
Bogotá,4.649178,-74.062827,13
Bogotá,4.649178,-74.062827,11
Bogotá,4.649178,-74.062827,18
Bogotá,4.649178,-74.062827,3
Bogotá,4.649178,-74.062827,12
Bogotá,4.649178,-74.062827,28
Bogotá,4.649178,-74.062827,19
Bogotá,4.649178,-74.062827,7
Bogotá,4.649178,-74.062827,26
Bogotá,4.649178,-74.062827,21
Bogotá,4.649178,-74.062827,8
Bogotá,4.649178,-74.062827,23
Bogotá,4.649178,-74.062827,6
Bogotá,4.649178,-74.062827,14
Bogotá,4.649178,-74.062827,15
Bogotá,4.649178,-74.062827,20
Bogotá,4.649178,-74.062827,10
Bogotá,4.649178,-74.062827,22
Bogotá,4.649178,-74.062827,21
Bogotá,4.649178,-74.062827,14
Bogotá,4.649178,-74.062827,8
Bogotá,4.649178,-74.062827,23
Bogotá,4.649178,-74.062827,2
Bogotá,4.649178,-74.062827,9
Bogotá,4.649178,-74.062827,14
Bogotá,4.649178,-74.062827,11
Bogotá,4.649178,-74.062827,18
Bogotá,4.649178,-74.062827,4
Bogotá,4.649178,-74.062827,9
Bogotá,4.649178,-74.062827,10
Bogotá,4.649178,-74.062827,22
Bogotá,4.649178,-74.062827,23
Bogotá,4.649178,-74.062827,24
Bogotá,4.649178,-74.062827,23
Bogotá,4.649178,-74.062827,6
Bogotá,4.649178,-74.062827,25
Bogotá,4.649178,-74.062827,27
Bogotá,4.649178,-74.062827,19
Bogotá,4.649178,-74.062827,19
Bogotá,4.649178,-74.062827,19
Bogotá,4.649178,-74.062827,20
Bogotá,4.649178,-74.062827,17
Bogotá,4.649178,-74.062827,22
Bogotá,4.649178,-74.062827,25
Bogotá,4.649178,-74.062827,8
Bogotá,4.649178,-74.062827,20
Bogotá,4.649178,-74.062827,10
Bogotá,4.649178,-74.062827,25
Bogotá,4.649178,-74.062827,9
Bogotá,4.649178,-74.062827,15
Bogotá,4.649178,-74.062827,9
Bogotá,4.649178,-74.062827,22
Bogotá,4.649178,-74.062827,20
Bogotá,4.649178,-74.062827,10
Bogotá,4.649178,-74.062827,18
Bogotá,4.649178,-74.062827,9
Bogotá,4.649178,-74.062827,20
Bogotá,4.649178,-74.062827,10
Bogotá,4.649178,-74.062827,14
Bogotá,4.649178,-74.062827,10
Bogotá,4.649178,-74.062827,19
Bogotá,4.649178,-74.062827,15
Bogotá,4.649178,-74.062827,20
Bogotá,4.649178,-74.062827,19
Bogotá,4.649178,-74.062827,19
Bogotá,4.649178,-74.062827,6
Bogotá,4.649178,-74.062827,22
Bogotá,4.649178,-74.062827,14
Bogotá,4.649178,-74.062827,19
Bogotá,4.649178,-74.062827,22
